month,channel,spend_usd,impressions,clicks,leads,qualified_leads,new_customers,new_mrr_usd,first_year_revenue_usd
2025-08,Google Search Ads,18887.35,102814,4247,402,222,43,6838.74,71986.3
2025-09,Google Search Ads,20782.71,123682,4980,394,210,60,8838.34,94901.45
2025-10,Google Search Ads,19880.3,136525,5413,441,230,53,8091.52,89965.92
2025-11,Google Search Ads,19136.11,123172,5372,448,235,54,8088.04,91177.33
2025-12,Google Search Ads,20703.33,142451,4953,330,168,40,5835.35,60272.56
2026-01,Google Search Ads,19450.23,105282,4566,372,187,50,7941.37,89817.89
2026-02,Google Search Ads,19224.93,127829,4939,410,207,53,7959.38,89103.79
2026-03,Google Search Ads,17671.14,126140,4174,332,179,41,6500.34,70606.13
2026-04,Google Search Ads,17983.38,102166,3911,349,152,44,6403.32,68848.93
2026-05,Google Search Ads,19004.72,106245,4503,392,202,47,6488.01,67940.32
2026-06,Google Search Ads,22812.91,144902,5903,445,236,61,9198.78,101067.54
2026-07,Google Search Ads,22241.61,159973,5590,527,236,77,11298.5,119635.8
2025-08,Meta Ads,16972.92,889141,12240,639,347,48,7257.19,79610.24
2025-09,Meta Ads,17553.17,1069743,13210,635,292,47,6809.97,69678.79
2025-10,Meta Ads,16519.37,816135,11716,599,299,41,6167.49,66374.49
2025-11,Meta Ads,17069.01,914606,12151,688,315,45,6924.32,76492.81
2025-12,Meta Ads,14971.2,824688,10858,563,262,41,5953.06,60798.65
2026-01,Meta Ads,14354.44,922183,11665,640,324,50,7322.62,81719.81
2026-02,Meta Ads,13464.8,924764,10755,497,252,41,6332.31,69293.99
2026-03,Meta Ads,11966.88,636673,9776,486,238,40,5905.66,60993.09
2026-04,Meta Ads,13515.57,744089,10809,535,295,36,5602.54,63309.74
2026-05,Meta Ads,16047.47,783604,10767,612,300,46,5963.68,60621.36
2026-06,Meta Ads,17741.93,965316,14748,700,336,47,7447.48,84624.72
2026-07,Meta Ads,20325.7,1193597,17230,938,443,57,8591.67,96652.69
2025-08,LinkedIn Ads,10077.74,202331,1057,69,35,11,1674.4,17183.87
2025-09,LinkedIn Ads,10567.64,226537,1262,80,42,17,2439.92,24328.8
2025-10,LinkedIn Ads,9916.71,211758,1259,70,33,9,1508.83,16825.78
2025-11,LinkedIn Ads,9794.78,153374,1047,60,32,8,1133.79,11319.0
2025-12,LinkedIn Ads,9988.16,196475,1154,64,33,10,1512.94,15430.01
2026-01,LinkedIn Ads,8382.32,158734,960,59,32,8,1136.57,11903.41
2026-02,LinkedIn Ads,9591.35,164947,1163,74,35,9,1484.64,14743.7
2026-03,LinkedIn Ads,9924.24,192436,1182,81,34,14,2176.57,22154.37
2026-04,LinkedIn Ads,10230.34,194378,1098,64,31,8,1223.96,13028.17
2026-05,LinkedIn Ads,10132.55,192225,1181,68,35,10,1453.26,16093.07
2026-06,LinkedIn Ads,11233.24,206184,1394,82,34,13,1974.77,19716.52
2026-07,LinkedIn Ads,11688.83,211821,1211,79,35,14,2178.68,24656.14
2025-08,SEO / Organic,4973.22,48040,3221,253,131,48,7391.36,81069.05
2025-09,SEO / Organic,4764.82,42745,2806,210,109,42,6225.61,61624.22
2025-10,SEO / Organic,4507.63,39312,2531,169,72,31,4481.91,48237.42
2025-11,SEO / Organic,4285.24,33031,1829,142,64,21,3091.28,30814.4
2025-12,SEO / Organic,4668.19,51306,2630,193,107,34,5225.89,55356.12
2026-01,SEO / Organic,4639.73,42716,2423,170,71,34,5023.21,56722.65
2026-02,SEO / Organic,4746.4,43122,2517,175,81,32,4829.63,52811.8
2026-03,SEO / Organic,4523.07,46891,2788,186,101,33,4745.4,49721.5
2026-04,SEO / Organic,4881.01,45209,2511,197,97,38,5362.24,57694.41
2026-05,SEO / Organic,4892.09,50295,3122,228,111,48,7867.49,82330.14
2026-06,SEO / Organic,5104.87,42714,2647,188,82,29,4467.8,50744.55
2026-07,SEO / Organic,5537.65,44322,2820,241,113,42,6004.43,64828.41
2025-08,Email / Lifecycle,1503.1,17065,1435,163,73,29,4478.0,45499.98
2025-09,Email / Lifecycle,1614.62,16080,1462,175,95,43,6774.82,69906.39
2025-10,Email / Lifecycle,1682.7,17897,1555,194,103,48,7429.63,79663.74
2025-11,Email / Lifecycle,1518.46,18355,1657,174,94,30,4238.8,48293.16
2025-12,Email / Lifecycle,1552.47,15793,1341,150,70,31,4781.99,53816.26
2026-01,Email / Lifecycle,1790.49,16734,1387,174,74,30,4244.27,44194.68
2026-02,Email / Lifecycle,1620.72,13814,1134,149,66,33,4798.07,49402.81
2026-03,Email / Lifecycle,1665.06,13920,1285,144,62,26,4141.08,41917.03
2026-04,Email / Lifecycle,1489.73,17788,1688,205,107,42,5903.46,63522.74
2026-05,Email / Lifecycle,1622.17,13935,1163,117,64,23,3682.86,41636.68
2026-06,Email / Lifecycle,1773.02,18137,1453,188,80,36,5447.66,61140.45
2026-07,Email / Lifecycle,1864.89,20243,1813,210,102,40,6554.71,69796.84
2025-08,Partner / Agency,6917.16,70705,2159,311,163,98,13418.83,139202.87
2025-09,Partner / Agency,7236.46,66750,2161,337,151,92,12195.8,135112.43
2025-10,Partner / Agency,6564.0,60028,2059,299,142,81,11874.97,124579.36
2025-11,Partner / Agency,7028.03,64716,1725,231,107,56,8211.56,89851.82
2025-12,Partner / Agency,6724.98,66002,1919,281,146,71,11377.09,129636.08
2026-01,Partner / Agency,6048.89,58259,1771,282,131,75,11305.78,112718.41
2026-02,Partner / Agency,6521.58,60476,1878,246,131,61,9050.51,90784.9
2026-03,Partner / Agency,6039.1,61709,1793,262,128,73,10448.1,107885.68
2026-04,Partner / Agency,6738.5,58640,1656,239,126,60,8431.67,86871.7
2026-05,Partner / Agency,6800.69,68811,1939,244,128,69,10326.44,107064.34
2026-06,Partner / Agency,7285.54,71427,2251,300,139,94,14780.61,155319.23
2026-07,Partner / Agency,8348.33,80362,2605,432,217,114,16861.04,170568.88
