user_id,signup_month,acquisition_channel,onboarding_path,device,account_segment,signed_up,email_verified,profile_completed,listing_connected,first_report_published,converted_to_paid,retained_day_30,retained_day_90,teammate_invited,days_to_activation,mrr_usd
U100000,2026-06,Google Search Ads,Guided setup,Desktop,Single location,1,1,1,1,1,0,0,0,1,4.9,0.0
U100001,2026-04,Google Search Ads,Self-serve,Desktop,Single location,1,1,1,1,1,0,0,0,1,8.8,0.0
U100002,2026-05,Partner / Agency,Self-serve,Desktop,Single location,1,1,1,1,1,0,0,0,0,4.9,0.0
U100003,2026-03,Meta Ads,Guided setup,Desktop,Single location,1,1,1,0,0,0,0,0,1,,0.0
U100004,2026-02,SEO / Organic,Self-serve,Desktop,Single location,1,1,0,0,0,0,0,0,0,,0.0
U100005,2026-03,Meta Ads,Guided setup,Mobile,Single location,1,1,1,0,0,0,0,0,0,,0.0
U100006,2026-06,LinkedIn Ads,Guided setup,Mobile,Single location,1,1,1,0,0,0,0,0,0,,0.0
U100007,2026-02,Google Search Ads,Guided setup,Desktop,Single location,1,1,1,0,0,0,0,0,0,,0.0
U100008,2026-02,LinkedIn Ads,Self-serve,Desktop,Agency,1,1,1,1,1,0,0,0,1,4.0,0.0
U100009,2026-06,Email / Lifecycle,Guided setup,Mobile,Single location,1,1,1,1,1,1,1,1,0,2.0,161.93
U100010,2026-05,LinkedIn Ads,Self-serve,Desktop,Single location,1,1,1,1,1,0,0,0,1,6.7,0.0
U100011,2026-06,Partner / Agency,Guided setup,Desktop,Single location,1,1,1,1,1,0,0,0,1,5.7,0.0
U100012,2026-05,Meta Ads,Self-serve,Desktop,Single location,1,1,1,0,0,0,0,0,0,,0.0
U100013,2026-06,Partner / Agency,Guided setup,Desktop,Single location,1,1,1,0,0,0,0,0,0,,0.0
U100014,2026-02,Partner / Agency,Self-serve,Mobile,Single location,1,1,1,0,0,0,0,0,0,,0.0
U100015,2026-06,SEO / Organic,Self-serve,Desktop,Single location,1,1,1,0,0,0,0,0,0,,0.0
U100016,2026-05,SEO / Organic,Self-serve,Desktop,Single location,1,1,1,0,0,0,0,0,0,,0.0
U100017,2026-06,Email / Lifecycle,Self-serve,Desktop,Single location,1,1,1,1,0,0,0,0,0,,0.0
